34,49,9,29,35,33,37,24,19,40,17,36,43,25,39,26,31,21,3,44,28,6,20,1,22,16,2,41,47,42,13,48,23,18,46,45,4,32,30,15,38,7,5,14,12,51,50,11,8,10
2,49,6,27,37,29,46,33,17,47,3,24,40,18,31,1,20,30,48,41,9,19,34,16,7,39,36,25,43,4,26,35,45,38,44,23,22,32,42,15,21,13,5,12,14,50,10,51,11,8
3,27,34,35,19,33,32,40,13,17,9,37,24,2,48,16,46,43,28,41,31,1,44,22,25,26,6,18,47,49,21,36,23,14,42,15,7,50,51,20,30,45,4,39,38,12,5,8,11,10
17,20,39,2,25,24,46,16,3,43,28,1,33,6,47,41,27,31,34,7,13,37,22,40,44,18,9,26,19,49,45,23,29,4,36,32,35,38,48,15,21,5,42,12,14,51,11,50,8,10
17,2,25,3,27,26,37,33,24,9,46,35,43,1,41,19,22,18,21,47,44,20,7,45,29,49,36,15,34,13,4,28,40,6,38,39,16,23,48,30,42,32,14,12,5,8,11,10,51,50
3,19,29,41,14,13,16,51,50,17,6,44,40,20,23,2,48,37,27,1,4,43,31,35,33,45,30,47,24,42,7,25,15,18,46,36,26,34,28,9,38,39,22,5,49,12,10,11,8,21
34,36,17,37,9,3,27,6,43,47,25,29,35,31,2,18,16,40,45,24,21,28,19,49,41,44,1,48,23,26,39,4,22,20,38,30,46,13,7,15,32,42,5,14,12,51,50,11,8,10
27,33,9,36,29,6,35,3,47,37,17,41,24,43,25,21,18,19,31,26,16,40,13,44,2,48,45,49,28,38,22,39,23,1,30,15,20,46,4,42,32,7,12,5,14,11,10,8,51,50
27,29,34,33,13,9,31,37,26,24,21,17,1,6,41,19,44,3,2,43,49,40,46,28,48,18,22,25,38,32,47,4,16,15,45,20,36,30,23,39,42,7,5,12,14,51,50,11,8,10
3,9,33,34,37,6,17,27,47,24,26,22,45,31,40,49,25,2,43,46,41,19,29,28,21,44,18,20,16,48,39,15,42,4,38,1,30,35,13,32,5,23,7,12,14,51,11,8,10,50
17,3,24,33,36,26,45,41,27,49,42,34,43,6,47,9,31,20,19,29,28,25,1,35,2,18,15,13,16,21,40,22,46,32,48,30,38,44,39,5,7,4,23,12,14,11,8,10,51,50
22,21,41,5,9,24,17,20,33,31,2,4,14,34,16,43,7,3,6,12,25,27,28,37,10,11,8,36,35,19,40,13,18,1,45,30,49,39,48,29,44,15,42,26,46,32,23,47,50,51
27,44,25,30,24,16,17,33,49,21,43,42,2,3,19,6,1,47,41,31,28,26,34,40,36,48,22,46,13,20,15,37,9,38,23,35,45,29,18,7,32,4,5,14,12,10,11,8,51,50
22,27,19,3,29,17,25,24,33,16,9,23,41,43,18,36,28,34,32,2,31,37,49,48,47,39,35,1,13,20,30,45,38,15,21,44,6,26,4,46,42,14,50,51,7,5,12,11,8,10
37,17,19,13,43,3,24,47,25,32,34,6,31,1,26,29,27,40,33,9,49,48,16,42,20,22,35,18,38,2,39,36,28,7,21,30,44,5,14,12,4,46,45,15,10,11,8,23,50,51
24,37,49,26,27,25,41,20,15,39,3,21,17,46,19,47,31,29,36,43,22,1,44,6,2,34,32,45,7,5,33,48,14,12,11,8,10,40,28,38,13,16,23,18,35,9,4,30,50,51
17,16,49,33,41,18,27,25,37,24,19,48,31,1,3,34,29,40,2,20,9,21,30,6,39,36,26,47,23,45,22,35,15,38,28,46,32,4,7,42,44,13,5,14,12,51,50,11,8,10
27,39,24,17,6,31,3,33,29,32,46,16,47,22,35,34,14,2,21,20,36,18,13,19,41,30,1,25,9,15,50,51,42,7,23,37,40,28,49,4,43,48,12,38,45,26,5,10,8,11
37,17,47,19,33,3,31,36,16,1,25,48,23,27,34,13,43,2,24,22,26,49,9,20,28,18,41,40,21,30,35,29,6,32,5,38,42,7,39,12,14,44,46,15,4,51,50,11,8,10
2,15,17,7,31,24,47,29,28,1,3,49,30,44,25,37,27,48,36,33,42,21,4,22,43,26,35,19,41,9,39,34,18,23,16,40,6,5,20,32,45,38,13,12,14,10,11,8,51,50
17,33,9,34,36,6,37,45,41,3,24,49,46,16,31,28,2,27,25,18,44,23,20,29,19,39,43,22,7,26,40,48,30,42,1,15,21,4,35,32,13,14,38,5,51,50,12,11,8,10
43,19,3,29,23,16,49,41,33,2,25,27,1,13,45,6,34,40,28,4,46,24,32,17,37,31,47,26,36,39,20,35,7,18,9,22,21,44,38,30,42,15,14,5,12,50,51,11,8,10
27,43,37,24,28,26,16,20,42,17,47,33,31,41,46,48,2,25,36,39,40,9,1,29,34,3,18,35,15,4,45,19,22,30,6,23,44,13,38,7,21,5,32,12,14,51,11,50,8,10
32,16,51,14,3,13,29,6,44,23,20,1,19,4,40,2,17,45,27,47,31,38,33,48,36,26,35,43,9,41,37,24,34,18,49,22,46,39,25,15,30,28,21,7,5,42,12,8,11,10
